case_id,ground_truth_status,ground_truth_root_cause,ground_truth_expected_amount,ground_truth_actual_amount,ground_truth_should_auto_resolve
CASE-00070,MISSING_SETTLEMENT,Payment captured in gateway but missing from settlement report.,48500.55,0.00,False
CASE-00071,EXACT_MATCH,All financial records match perfectly across all systems.,47355.70,47355.70,True
CASE-00072,MISSING_SETTLEMENT,Payment captured in gateway but missing from settlement report.,12000.03,0.00,False
CASE-00073,EXACT_MATCH,All financial records match perfectly across all systems.,11717.12,11717.12,True
CASE-00074,AMOUNT_MISMATCH,Settlement gross amount (114000.01) does not match payment amount (120000.01).,117168.01,111168.01,False
CASE-00075,DUPLICATE_TRANSACTION,Duplicate credit entry posted to bank ledger for single settlement.,47356.10,94712.20,False
CASE-00076,EXACT_MATCH,All financial records match perfectly across all systems.,47355.42,47355.42,True
CASE-00077,DUPLICATE_TRANSACTION,Duplicate credit entry posted to bank ledger for single settlement.,7322.84,14645.68,False
CASE-00078,AMOUNT_MISMATCH,Settlement gross amount (23750.90) does not match payment amount (25000.95).,24410.93,23160.88,False
CASE-00079,EXACT_MATCH,All financial records match perfectly across all systems.,7322.40,7322.40,True
CASE-00080,EXACT_MATCH,All financial records match perfectly across all systems.,11716.95,11716.95,True
CASE-00081,PARTIAL_REFUND,Valid partial refund of INR 1499.98 processed cleanly.,5822.94,5822.94,True
CASE-00082,FEE_DIFFERENCE,Gateway fee charged at 3.5% instead of contracted 2.0%.,7322.30,7189.56,False
CASE-00083,EXACT_MATCH,All financial records match perfectly across all systems.,7322.07,7322.07,True
CASE-00084,EXACT_MATCH,All financial records match perfectly across all systems.,47355.53,47355.53,True
CASE-00085,TIMING_DIFFERENCE,Bank transaction posted 15 days after settlement date.,47355.82,47355.82,True
CASE-00086,PARTIAL_REFUND,Valid partial refund of INR 250.10 processed cleanly.,970.90,970.90,True
CASE-00087,DUPLICATE_TRANSACTION,Duplicate credit entry posted to bank ledger for single settlement.,2440.21,4880.42,False
CASE-00088,EXACT_MATCH,All financial records match perfectly across all systems.,117168.95,117168.95,True
CASE-00089,MISSING_SETTLEMENT,Payment captured in gateway but missing from settlement report.,120000.48,0.00,False
CASE-00090,MISSING_SETTLEMENT,Payment captured in gateway but missing from settlement report.,7499.72,0.00,False
CASE-00091,EXACT_MATCH,All financial records match perfectly across all systems.,4881.34,4881.34,True
CASE-00092,FEE_DIFFERENCE,Gateway fee charged at 3.5% instead of contracted 2.0%.,2440.02,2395.79,False
CASE-00093,EXACT_MATCH,All financial records match perfectly across all systems.,7322.06,7322.06,True
CASE-00094,EXACT_MATCH,All financial records match perfectly across all systems.,1221.35,1221.35,True
CASE-00095,DUPLICATE_TRANSACTION,Duplicate credit entry posted to bank ledger for single settlement.,24410.14,48820.28,False
CASE-00096,MISSING_SETTLEMENT,Payment captured in gateway but missing from settlement report.,2499.09,0.00,False
CASE-00097,AMOUNT_MISMATCH,Settlement gross amount (46075.14) does not match payment amount (48500.15).,47355.55,44930.54,False
CASE-00098,PARTIAL_REFUND,Valid partial refund of INR 24000.14 processed cleanly.,93168.54,93168.54,True
CASE-00099,AMOUNT_MISMATCH,Settlement gross amount (23750.89) does not match payment amount (25000.94).,24410.92,23160.87,False
CASE-00100,EXACT_MATCH,All financial records match perfectly across all systems.,4881.86,4881.86,True
